"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31600","0","0","0","1579.25","0","1999.05","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31700","0","0","0","1369.65","0","2098.5","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31800","0","0","0","1442.8","0","2198.05","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31900","0","0","0","1519.2","0","2297.7","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","32000","0","0","0","1594.55","0","2397.4","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","32100","0","0","0","1519.4","0","2497.2","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","25200","0","0","0","65.3","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","25300","5.55","5.55","2.55","2.55","2.55","2.55","26","131.59",".03","940","480","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","25400","0","0","0","75","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","25500","0","0","0","71.7","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","25600","0","0","0","82.75","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","25700","0","0","0","95.15","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","25800","0","0","0","109","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","25900","0","0","0","124.4","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26000","0","0","0","141.4","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26100","0","0","0","160.1","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26200","0","0","0","180.7","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26300","0","0","0","203.2","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26400","0","0","0","228.7","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26500","0.65","2.95","0.65","2.95","2.95","2.95","2","10.6","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26600","0","0","0","282.85","0","0","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26700","0","0","0","313.95","0","0.05","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26800","0","0","0","347.35","0","0.05","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","26900","0","0","0","383.1","0","0.05","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27000","0","0","0","421.3","0","0.05","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27100","0","0","0","461.95","0","0.1","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27200","0","0","0","505.1","0","0.1","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27300","0","0","0","550.7","0","0.2","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27400","0","0","0","598.7","0","0.3","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27500","6.4","6.4","1.65","2.5","4.85","2.5","582","3201.29",".29","18800","6900","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27600","0","0","0","702.45","0","0.75","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27700","0","0","0","758.05","0","1.2","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27800","0","0","0","816.05","0","1.85","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","27900","8.95","8.95","0.65","5.1","8.95","5.1","19","106.04",".02","20","20","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28000","3.95","7","3.05","5.75","6.45","5.75","1359","7611.74","1.34","31320","12540","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28100","0","0","0","1004.1","0","6.05","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28200","4","8","4","4","4","4","4","22.56","0","80","20","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28300","5.95","17.75","3.4","7.8","6.25","7.8","219","1239.84",".3","2120","1320","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28400","10","24","4.55","10.3","11","10.3","611","3471.64","1.16","6480","3700","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28500","10","23.3","5.05","14.15","15.6","14.15","8897","50731.84","18.94","45340","5620","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28600","9.35","25","5.3","16.9","19","16.9","3304","18907.96","9.08","15200","11280","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28700","13.35","25.95","6.25","18.35","23.9","18.35","5145","29547.09","14.79","14540","8820","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28800","16.7","35.95","6.45","23.05","29","23.05","9170","52850.06","30.86","28780","24320","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","28900","20.95","38","9.1","28.15","35","28.15","11191","64727.96","43.98","21760","12720","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29000","25.85","49.95","11","37.55","42.1","37.55","55224","320586.63","287.43","286060","115540","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29100","31.95","56.15","13.25","44.65","53.95","44.65","25511","148627.49","153.47","42540","26920","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29200","51.7","70.5","16","56.3","64","56.3","50807","297089.29","376.41","141940","105120","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29300","55","92.75","20.75","74.7","84","74.7","41721","244889.47","404.41","110580","35440","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29400","64","118.8","26.95","96.4","106.15","96.4","69163","407536.61","858.17","82180","37260","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29500","89.2","153.05","35","125.9","138","125.9","141991","839999.39","2252.49","281840","43480","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29600","97","196.05","45.75","163.35","171","163.35","91115","541301.54","1900.74","99220","44720","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29700","133.5","244.95","60","207.85","229","207.85","116022","692149.94","2979.26","205140","146200","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29800","196.45","303.8","81.8","257.1","278.95","257.1","106962","640894.13","3400.61","173120","126140","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","29900","201.85","366.55","110","321.3","345.1","321.3","59737","359525.29","2298.03","55700","25080","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30000","247.8","440","144.85","389.9","410.25","389.9","83648","505970.55","4082.55","180680","131680","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30100","322.7","519.6","186.85","472.6","496.45","472.6","12345","75035.93","719.03","17340","14600","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30200","404.7","605.6","240","566.5","570.1","566.5","4637","28320.92","313.44","6840","4440","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30300","456.15","680","297.05","644.2","676.5","644.2","1228","7541.75","100.07","4120","2720","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30400","429.7","768.55","368.9","762","768.4","762","293","1809.02","27.58","2700","1860","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30500","600","870","436.4","832.15","850","832.15","3132","19460.79","355.59","47140","11680","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30600","594","937.8","530.9","912.6","937.8","912.6","91","568.46","11.54","500","420","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30700","655","1039.1","648.75","1039.1","1039.1","1039.1","30","188.52","4.32","740","-100","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30800","860.05","1136.55","860.05","1135","1133.45","1135","6","38.15","1.19","80","60","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","30900","860.9","1040.9","860.9","1040.9","1040.9","1040.9","3","19.12",".58","80","40","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31000","1004.4","1355.95","880","1330.6","1323.65","1330.6","729","4683.69","163.89","4040","1460","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31100","0","0","0","1515.55","0","1506.5","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31200","0","0","0","1589.7","0","1604.1","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31300","0","0","0","1518.65","0","1702.25","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31400","0","0","0","1593.9","0","1800.85","0","0","0","0","0","29561.35"
"BANKNIFTY","25-Apr-2019","02-May-2019","PE","31500","1701","1811","1701","1756","1811","1756","2","13.3",".7","40","40","29561.35"
"BANKNIFTY","26-Apr-2019","02-May-2019","PE","31600","0","0","0","1579.25","0","1557.4","0","0","0","0","0","-"
"BANKNIFTY","26-Apr-2019","02-May-2019","PE","31700","0","0","0","1369.65","0","1655.5","0","0","0","0","0","-"
"BANKNIFTY","26-Apr-2019","02-May-2019","PE","31800","0","0","0","1442.8","0","1754.1","0","0","0","0","0","-"
"BANKNIFTY","26-Apr-2019","02-May-2019","PE","31900","0","0","0","1519.2","0","1853.05","0","0","0","0","0","-"
